code,company_name,market,feature,business_composition,industries,themes,business1,business2,business3,business_sales1,business_sales2,business_sales3,business_profit1,business_profit2,business_profit3,overseas
6324,ハーモニック・ドライブ・システムズ,東証スタンダード,小型・軽量の精密制御減速装置を各産業用に展開。各種駆動装置を組み合わせたメカトロ製品も,減速装置76、メカトロニクス製品24【海外】64 <25.3>,"ロボット,関東",半導体製造装置,,,,,,,,,,64
6325,タカキタ,東証スタンダード,飼料系農機が主で風力発電用軸受けも。クボタ、井関農機、ヤンマー等と関係強化。収益上期集中,農機94(5)、軸受6(-4)【海外】5 <25.3>,"農業,近畿",軸受け,農機,,,94,,,5,,,5
6326,クボタ,東証プライム,農業機械、鋳鉄管とも国内トップ。建機、エンジンも主力。環境プラントは民需、インド市場開拓,機械87(13)、水・環境12(8)、他1(2)【海外】79 <24.12>,"建設機械,農業,スマート農",インド,機械,水・環境,,87,12,,13,8,,79
6327,北川精機,東証スタンダード,プリント基板プレス、FA機器中堅。銅張積層基板製造用真空プレス装置シェアは世界トップ,産業機械97、他3【海外】57 <24.6>,"工作機械,中国四国",バイオプラスチック,,,,,,,,,,57
6328,荏原実業,東証プライム,ポンプ・空調など機器卸から水処理設計・施工へ展開。メーカー機能持つ環境関連事業を育成,環境関連19(18)、水処理関連50(13)、風水力冷熱機器等関連31(15) <24.12>,"水処理,プラント,関東",防災・減災,水処理関連,風水力冷熱機器等関連,環境関連,50,31,19,13,15,18,
6330,東洋エンジニアリング,東証プライム,三井系総合エンジで国内3位。肥料、エチレンプラントに強み。三井海洋開発と洋上設備で合弁,石油化学17、石油・ガス28、発電・交通システム等17、化学・肥料30、他8【海外】77 <25.3>,"プラント,関東",インド,,,,,,,,,,77
6331,三菱化工機,東証プライム,石油・化学装置中心のエンジニアリング会社。下水・排水処理、油清浄機など環境装置手がける,エンジニアリング70(5)、単体機械30(21)【海外】11 <25.3>,"プラント,関東",エンジニアリング,エンジニアリング,単体機械,,70,30,,5,21,,11
6332,月島ホールディングス,東証プライム,上下水処理など水環境事業、化学向けなど産業プラント・機器が2本柱。23年、JFE水事業統合,水環境67(7)、産業32(5)、他1(11)【海外】8 <25.3>,"水処理,関東",プラント,水環境,産業,,67,32,,7,5,,8
6333,帝国電機製作所,東証プライム,キャンド(無漏洩)ポンプ最大手で国内シェア約6割、世界4割弱。米国企業買収。大連に工場,ポンプ96(21)、電子部品3(-8)、他1(12)【海外】73 <25.3>,近畿,インド,ポンプ,,,96,,,21,,,73
6334,明治機械,東証スタンダード,製粉、飼料設備首位。プラントと食品原料加工機械製造が2本柱。太陽光Abalance提携,産業機械関連100 <25.3>,"産業機械,関東",飼料,,,,,,,,,,
6335,東京機械製作所,東証スタンダード,最古の新聞輪転機企業。大型自動搬送機など新規分野に展開。買収阻止で新聞社が大株主に並ぶ,印刷機械関連100 <25.3>,"印刷,関東",ロボット,,,,,,,,,,
6336,石井表記,東証スタンダード,プリント基板製造装置大手。インクジェット塗布機はテレビ液晶用で高シェア。印刷技術も強み,電子機器部品製造装置31(14)、ディスプレイ・電子部品69(3)、他0(0)【海外】71 <25.1>,中国四国,プリント基板,ディスプレイ・電子部品,電子機器部品製造装置,,69,31,,3,14,,71
